01, 3.172800e-03,	1,	1.56308e+10
02, 6.053600e-03,	1,	1.80458e+13
03, 1.198580e+01,	0,	0.000000e+00
04, 2.353114e-01,	0,	0.000000e+00
05, 1.203997e+01,	10000,	2.232311e+13
06, 2.014081e+01,	10000,	7.320597e+15
07, 7.477040e-02,	41,	4.718780e+08
08, 2.739340e-01,	26,	1.770341e+11
09, 1.244369e+01,	10000,	1.315594e+08
10, 2.542915e+01,	10000,	2.445718e+12
11, 1.413773e+01,	10000,	1.566904e+08
12, 2.114427e+01,	10000,	1.179947e+12
13, 1.884457e+01,	10000,	4.875272e+05
14, 2.086073e+02,	10000,	3.431641e+12
15, 4.558400e-03,	0,	inf
16, 2.044495e+00,	194,	6.155095e+11
