1, 22301.612369
2, 836993.506335
3, 1026988.843172
4, 811707.257361
5, 4336888.969752
6, 872351.195582
7, 992075.804353
8, 894389.431992
9, 726595.605582
10, 823669.783776
11, 704849.714112
12, 977858.656415
13, 879547.988243
14, 878162.680946
15, 3562311.651537
16, 1235992.865993
17, 1538939.964152
18, 1094137.622953
19, 1903798.288763
20, 1880622.396367
21, 1325953.404484
22, 3059851.619787
23, 1696314.392492
24, 1660220.344390
25, 1658091.458519
26, 1657224.582315
27, 1656843.236952
28, 1656479.199129
29, 1658528.933739
30, 1654208.218825
31, 1650087.469860
32, 1642923.729943
33, 1709760.033519
34, 1714329.142586
35, 1716842.205114
36, 1726193.929146
37, 1814854.389745
38, 1646952.405342
39, 5445477.391227
40, 7035538.689716
41, 7030495.177722
42, 471878028.396680
