1, 413358.216545
2, 134107523.873732
3, 118777262.876836
4, 159334312.216496
5, 304436224.059028
6, 89418666.286038
7, 1226271968.268663
8, 1204164097.757661
9, 280349168.259286
10, 386030308.659697
11, 526709040.419168
12, 541436630.536232
13, 135361066.994040
14, 265204521.878675
15, 103914303.653563
16, 102864211.181359
17, 109684807.082433
18, 134211055.290509
19, 175458511.974702
20, 64835081.278983
21, 160467152.801385
22, 112913537.504323
23, 164187323.175962
24, 192840387.219162
25, 75747730.234777
26, 69552514.556527
27, 70762477.967832
28, 70300177.484842
29, 72304845.979750
30, 71863966.606394
31, 77999696.434231
32, 73801871.749976
33, 88351280.436934
34, 61140303.963857
35, 114714706.714420
36, 108791269.184178
37, 110435619.138225
38, 109364338.754587
39, 108948491.452919
40, 174112494.872202
41, 238902966.577714
42, 175776953.741267
43, 172639685.603860
44, 139087463.607296
45, 138249167.415954
46, 349935961.694050
47, 113145411.303468
48, 147175100.603524
49, 155673210.329665
50, 119401330.774794
51, 131099965.730293
52, 1090334513.041923
53, 1267140399.993437
54, 464724276.988122
55, 464259648.153935
56, 702606568.671856
57, 197533485.612638
58, 168822520.062707
59, 169559345.393323
60, 354228414.950324
61, 201571590.407380
62, 199129686.307411
63, 223627701.587988
64, 224230086.912403
65, 224712186.824753
66, 209975052.324783
67, 205341952.764063
68, 216560528.088037
69, 208573647.277622
70, 208165999.118378
71, 208152051.012930
72, 208250822.417722
73, 208468925.121850
74, 208309997.668309
75, 208397224.278964
76, 208341620.452518
77, 208250666.180319
78, 208252364.376356
79, 208232784.950123
80, 208235483.322572
81, 208268166.757826
82, 208410039.836121
83, 208409348.661727
84, 208409356.515525
85, 208410893.320494
86, 208411649.217454
87, 208410972.870140
88, 208415852.733720
89, 208416047.338967
90, 208419783.758669
91, 208428929.887045
92, 208430000.730505
93, 208383069.017123
94, 208521238.805742
95, 208435640.101633
96, 208469743.934582
97, 208463016.231834
98, 208517641.299538
99, 209778629.471553
100, 208764270.049730
101, 208710831.603845
102, 208716835.703374
103, 208958738.509636
104, 215339743.509425
105, 214922679.591001
106, 221844160.354810
107, 209857279.169162
108, 209737944.604435
109, 210201120.148643
110, 209307447.309705
111, 209242779.613931
112, 209159781.551881
113, 209158578.287855
114, 209157475.044980
115, 209157056.614563
116, 210913099.845898
117, 209600278.777686
118, 209860809.739954
119, 211520166.064458
120, 221730919.324713
121, 221403704.986579
122, 361439590.256960
123, 260211622.314923
124, 258062722.791306
125, 403285142.672918
126, 285292403.635412
127, 285164308.833530
128, 275246921.129210
129, 334075369.949124
130, 204217316.610971
131, 228282207.119798
132, 1466582345.960138
133, 262818586.769399
134, 244811335.339034
135, 221847953.117598
136, 214095947.724040
137, 211265707.779716
138, 241803992.427148
139, 191184580.415321
140, 190755683.320254
141, 132902515.018677
142, 212478024.816883
143, 887188250.803795
144, 292591802.216566
145, 321638468.372846
146, 1151355554.937519
147, 1180347029.730105
148, 1219958260.003272
149, 1219863730.217992
150, 1228088406.727308
151, 1226248096.843241
152, 1186915055.309744
153, 1237574496.428876
154, 1633749023.079755
155, 727154467.156876
156, 937709550.786970
157, 564315502.074727
158, 327149843.155764
159, 2759064648.147538
160, 598408271.657731
161, 1155419913.468324
162, 599443172.164235
163, 1302892693.020294
164, 537972810.642558
165, 354584339.597456
166, 131490419.234723
167, 1013654109.843975
168, 979971765.300192
169, 170857182.347868
170, 814360990.025039
171, 310950435.337467
172, 137269255.128005
173, 137635234.436495
174, 137433082.386397
175, 153835627.161412
176, 147938924.424642
177, 161104100.798750
178, 164318699.970929
179, 158299028.465302
180, 195728417.002427
181, 168983464.518999
182, 179736059.495499
183, 363533458.053581
184, 329824241.604837
185, 180579954.402314
186, 181749167.191535
187, 239303178.099021
188, 175726575.099635
189, 216915850.944993
190, 196337110.471551
191, 321297747.531191
192, 2103847442.082071
193, 685509146.952314
194, 584034340.821241
195, 388946839.271811
196, 387622558.700277
197, 596865013.454214
198, 352746341.621706
199, 347599288.051759
200, 376971050.149324
201, 357686606.172655
202, 2132371262.946080
203, 374176826.230552
204, 365507508.354354
205, 365264255.737102
206, 366423379.674314
207, 366802995.443115
208, 367140493.414744
209, 367108995.230042
210, 367043838.470310
211, 367088708.014898
212, 367468776.222656
213, 367183612.593976
214, 366933314.528375
215, 367305604.041319
216, 367240585.212993
217, 367511249.736958
218, 367199890.182352
219, 368094279.944922
220, 367130595.006155
221, 366560336.468944
222, 366380191.573361
223, 6246391249.469944
