01, 9.822000e-03,	1,	0.000000e+00
02, 2.027300e-02,	1,	0.000000e+00
03, 6.077092e+01,	0,	0.000000e+00
04, 1.148048e+00,	0,	0.000000e+00
05, 1.203653e+01,	10000,	1.621220e+13
06, 1.999847e+01,	10000,	6.484599e+15
07, 1.370680e-01,	75,	6.640771e+08
08, 8.295690e-01,	80,	7.367126e+09
09, 1.241745e+01,	10000,	1.231793e+08
10, 2.547258e+01,	10000,	7.776722e+11
11, 1.412751e+01,	10000,	1.869052e+08
12, 2.115603e+01,	10000,	3.120758e+12
13, 1.901721e+01,	10000,	9.764931e+05
14, 2.081278e+02,	10000,	3.838787e+12
15, 1.749200e-02,	0,	inf
16, 1.048568e+00,	99,	4.654786e+11
01, 9.831000e-03,	1,	0.000000e+00
02, 2.031800e-02,	1,	0.000000e+00
03, 5.996964e+01,	0,	0.000000e+00
04, 1.140506e+00,	0,	0.000000e+00
05, 1.195460e+01,	10000,	2.433003e+13
06, 2.000288e+01,	10000,	7.293636e+15
07, 1.801959e+01,	10000,	1.697144e+06
08, 2.313810e+00,	222,	6.246391e+09
09, 1.252685e+01,	10000,	1.387776e+08
10, 2.538150e+01,	10000,	1.541420e+12
11, 1.414346e+01,	10000,	1.567643e+08
12, 2.126707e+01,	10000,	2.523567e+12
13, 1.893665e+01,	10000,	8.326142e+05
14, 2.081208e+02,	10000,	4.616343e+11
15, 1.750600e-02,	0,	inf
16, 1.657158e+00,	158,	2.702164e+12
