nr SDO BCGS TSQR SpMV INIT
1 0.00078 0.0018 0.00078 0.7 0.3
2 0.00078 0.0019 0.00078 0.57 0.23
3 0.00079 0.0019 0.00079 0.39 0.16
4 0.00079 0.0016 0.00079 0.22 0.089
5 0.0008 0.0016 0.0008 0.14 0.056
6 0.00064 0.0016 0.00064 0.09 0.04
7 0.00067 0.0015 0.00067 0.074 0.04
8 0.00065 0.0017 0.00065 0.096 0.19
9 0.00065 0.0019 0.00065 0.15 0.28
10 0.00071 0.0017 0.00071 0.18 0.31
11 0.00074 0.0017 0.00074 0.22 0.34
12 0.00074 0.0018 0.00074 0.22 0.34
