nr SDO BCGS TSQR SpMV INIT
1 0.017 0.0029 0.017 0.76 0.2
2 0.026 0.0024 0.026 0.75 0.21
3 0.032 0.0026 0.032 0.92 0.24
4 0.04 0.0047 0.04 1.3 0.33
