0 1.000000e+00
20 6.800769e-03
40 2.018953e-03
60 9.346892e-04
80 6.199930e-04
100 3.759516e-04
120 2.728164e-04
140 2.230344e-04
160 1.713838e-04
180 1.344310e-04
200 1.141850e-04
220 9.859229e-05
240 8.632735e-05
260 7.740812e-05
280 6.953221e-05
300 6.199161e-05
320 5.625355e-05
340 5.179197e-05
360 4.782551e-05
380 4.454834e-05
400 4.160144e-05
420 3.857304e-05
440 3.603948e-05
460 3.401715e-05
480 3.214088e-05
500 3.050323e-05
520 2.899971e-05
540 2.740990e-05
560 2.601716e-05
580 2.488247e-05
600 2.381009e-05
620 2.284560e-05
640 2.194561e-05
660 2.098143e-05
680 2.011409e-05
700 1.939650e-05
720 1.871213e-05
740 1.808506e-05
760 1.749256e-05
780 1.685337e-05
800 1.626840e-05
820 1.577861e-05
840 1.530905e-05
860 1.487322e-05
880 1.445733e-05
900 1.400670e-05
920 1.358916e-05
940 1.323619e-05
960 1.289661e-05
980 1.257837e-05
1000 1.227222e-05
