nr SDO BCGS TSQR SpMV INIT
1 0.00067 0.0018 0.00067 0.7 0.3
2 0.00067 0.0022 0.00067 0.64 0.26
3 0.00068 0.0018 0.00068 0.4 0.16
4 0.00069 0.0015 0.00069 0.21 0.088
